Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Instructor
AIS,320,[DIVR] Native Peoples of North America,01,06796,3,"M,TU,W,TH12.45-14.20","",Mark Mansperger
ANTH,309,[SSCI] Cultural Ecology,01,01137,3,"M,TU,W,TH11-12.35","",Mark Mansperger
ANTH,320,[DIVR] Native Peoples of North America,01,01135,3,"M,TU,W,TH12.45-14.20","",Mark Mansperger
ANTH,498,Anthropology Internship,01,01124,V,ARRGT,ARR ARR,Mark Mansperger
ASIA,387,World War II in Asia and the Pacific,01,06377,3,"M,W14.30-17.50","",Brigit Farley
BIOLOGY,499,Special Problems,01,01057,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,01058,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination",01,01059,V,ARRGT,ARR ARR,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,01101,V,ARRGT,ARR ARR,Allan Felsot
BSYSE,600,Special Projects or Independent Study,01,01130,V,ARRGT,ARR ARR,(multiple)
BSYSE,700,"Master's Research, Thesis, and/or Examination",01,01022,V,ARRGT,ARR ARR,(multiple)
BSYSE,702,"Master's Special Problems, Directed Study and/or Examination",01,01023,V,ARRGT,ARR ARR,(multiple)
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination",01,01024,V,ARRGT,ARR ARR,(multiple)
CE,211,Statics,01,01104,3,"M,W,F9.55-12.10","",Md Rubayet Mortuza
CE,215,Mechanics of Materials,01,01002,3,"M,W7.30-10.50","",Md Rubayet Mortuza
CE,495,Engineering Experience,01,01082,V,ARRGT,ARR ARR,Yonas Demissie
CE,499,Special Problems,01,01115,V,ARRGT,ARR ARR,Yonas Demissie
CE,600,Special Projects or Independent Study,01,01003,V,ARRGT,ARR ARR,(multiple)
CE,700,"Master's Research, Thesis and/or Examination",01,01004,V,ARRGT,ARR ARR,(multiple)
CE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01005,V,ARRGT,ARR ARR,(multiple)
CE,800,"Doctoral Research, Dissertation, and/or Examination",01,01006,V,ARRGT,ARR ARR,(multiple)
CES,377,[DIVR] Native Peoples of North America,01,01136,3,"M,TU,W,TH12.45-14.20","",Mark Mansperger
CHE,700,"Master's Research, Thesis, and/or Examination",01,01025,V,ARRGT,ARR ARR,(multiple)
CHE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01026,V,ARRGT,ARR ARR,""
CHE,800,"Doctoral Research, Dissertation, and/or Examination",01,01027,V,ARRGT,ARR ARR,(multiple)
CHEM,102,Chemistry Related to Life Sciences,01,01353,4,"M,TU,W,TH9-10.15","",Nelmi Devarie Baez
CHEM,102,Chemistry Related to Life Sciences,01 Lab,01354,0,"M,W11-13.30","",Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,01,01290,4,"M,TU,W,TH13.30-14.45","",Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,01 Lab,01343,0,"M,W15.10-17.40","",Nelmi Devarie Baez
CHEM,345,Organic Chemistry I,02 Lab,01396,0,"TU,TH9-11.30","",Nelmi Devarie Baez
CHEM,499,Special Problems,01,01116,V,ARRGT,ARR ARR,Allan Felsot
CPT_S,122,Data Structures C/C++,01,01020,4,"M,TH16.15-17.50","",Nathan Tenney
CPT_S,122,Data Structures C/C++,01 Lab,01021,0,TU16.15-19.35,"",Nathan Tenney
CPT_S,430,Numerical Analysis,01,07139,3,"M,W,F14.45-17","",Messiha Saad
CPT_S,490,Work Study Internship,01,01092,V,ARRGT,ARR ARR,Robert Lewis
CPT_S,499,Special Problems,01,01007,V,ARRGT,ARR ARR,Robert Lewis
CPT_S,530,Numerical Analysis,01,07141,3,"M,W,F14.45-17","",Messiha Saad
CPT_S,600,Special Projects or Independent Study,01,01008,V,ARRGT,ARR ARR,(multiple)
CPT_S,700,"Master's Research, Thesis, and/or Examination",01,01009,V,ARRGT,ARR ARR,(multiple)
CPT_S,702,"Master's Special Problems, Directed Study, and/or Examination",01,01010,V,ARRGT,ARR ARR,(multiple)
CPT_S,800,"Doctoral Research, Dissertation, and/or Examination",01,01011,V,ARRGT,ARR ARR,(multiple)
CROP_SCI,495,Research Experience,01,07090,V,ARRGT,ARR ARR,Amit Dhingra
DTC,201,[ARTS] Tools and Methods for Digital Technology,01,05633,3,M14.30-17.50,"",Sena Clara Creston
DTC,338,Special Topics in Digital Technology and Culture,01,05632,3,W17.10-19.25,"",Peter Christenson
DTC,338,Special Topics in Digital Technology and Culture,"","","",W17.10-19.25,"",""
DTC,338,Special Topics in Digital Technology and Culture,"","","",W17.10-19.25,"",""
DTC,498,Internship,01,01118,V,ARRGT,ARR ARR,Sena Clara Creston
E_E,221,Numerical Computing for Engineers,01,01123,2,"M,W11-13.15","",David Lowry
E_E,261,Electrical Circuits I,01,01012,3,"TU,TH10-13.20","",David Lowry
E_E,262,Electrical Circuits Laboratory I,01,01013,1,"TU,TH13.30-16.50","",Scott Hudson
E_E,495,Internship in Electrical Industry,01,01014,V,ARRGT,ARR ARR,Mohamed Osman
E_E,600,Special Projects or Independent Study,01,01015,V,ARRGT,ARR ARR,(multiple)
E_E,700,"Master's Research, Thesis, and/or Examination",01,01016,V,ARRGT,ARR ARR,(multiple)
E_E,702,"Master's Special Problems, Directed Study, and/or Examination",01,01017,V,ARRGT,ARR ARR,(multiple)
ED_AD,580,School Organization and Administration,01,07106,3,TU17.45-20.30,"",Jeffrey Walls
ED_AD,582,Policy Formation and Analysis in Education,01,01150,3,ARRGT,ARR ARR,Shannon Calderone
ED_AD,585,Financial Management in Education,01,02576,3,"M,TU,W,TH,F9-13.15","",Gene Sementi
ED_AD,588,The Law and Education,01,02578,3,"M,W17.10-20.30","",Galt Pettett
